"Date(UTC)","Value"
"9/4/2022 6:18:00 AM","79"
"9/4/2022 6:19:00 AM","102"
"9/4/2022 6:20:00 AM","94"
"9/4/2022 6:21:00 AM","86"
"9/4/2022 6:22:00 AM","95"
"9/4/2022 6:23:00 AM","83"
"9/4/2022 6:24:00 AM","117"
"9/4/2022 6:25:00 AM","78"
"9/4/2022 6:26:00 AM","134"
"9/4/2022 6:27:00 AM","216"
"9/4/2022 6:28:00 AM","103"
"9/4/2022 6:29:00 AM","96"
"9/4/2022 6:30:00 AM","117"
"9/4/2022 6:31:00 AM","98"
"9/4/2022 6:32:00 AM","95"
"9/4/2022 6:33:00 AM","79"
"9/4/2022 6:34:00 AM","68"
"9/4/2022 6:35:00 AM","73"
"9/4/2022 6:36:00 AM","95"
"9/4/2022 6:37:00 AM","89"
"9/4/2022 6:38:00 AM","92"
"9/4/2022 6:39:00 AM","101"
"9/4/2022 6:40:00 AM","154"
"9/4/2022 6:41:00 AM","89"
"9/4/2022 6:42:00 AM","64"
"9/4/2022 6:44:00 AM","75"
"9/4/2022 6:45:00 AM","131"
"9/4/2022 6:46:00 AM","69"
"9/4/2022 6:47:00 AM","113"
"9/4/2022 6:48:00 AM","99"
"9/4/2022 6:49:00 AM","73"
"9/4/2022 6:50:00 AM","89"
"9/4/2022 6:51:00 AM","89"
"9/4/2022 6:52:00 AM","100"
"9/4/2022 6:53:00 AM","84"
"9/4/2022 6:54:00 AM","81"
"9/4/2022 6:55:00 AM","90"
"9/4/2022 6:56:00 AM","88"
"9/4/2022 6:57:00 AM","144"
"9/4/2022 6:58:00 AM","100"
"9/4/2022 6:59:00 AM","124"
"9/4/2022 7:00:00 AM","319"
"9/4/2022 7:01:00 AM","93"
"9/4/2022 7:02:00 AM","117"
"9/4/2022 7:03:00 AM","142"
"9/4/2022 7:04:00 AM","62"
"9/4/2022 7:05:00 AM","133"
"9/4/2022 7:06:00 AM","121"
"9/4/2022 7:07:00 AM","133"
"9/4/2022 7:08:00 AM","151"
"9/4/2022 7:09:00 AM","110"
"9/4/2022 7:10:00 AM","111"
"9/4/2022 7:11:00 AM","75"
"9/4/2022 7:12:00 AM","127"
"9/4/2022 7:13:00 AM","105"
"9/4/2022 7:14:00 AM","76"
"9/4/2022 7:15:00 AM","95"
"9/4/2022 7:16:00 AM","118"
"9/4/2022 7:17:00 AM","91"
"9/4/2022 7:18:00 AM","88"
"9/4/2022 7:19:00 AM","104"
"9/4/2022 7:20:00 AM","91"
"9/4/2022 7:21:00 AM","94"
"9/4/2022 7:22:00 AM","78"
"9/4/2022 7:23:00 AM","248"
"9/4/2022 7:24:00 AM","139"
"9/4/2022 7:25:00 AM","82"
"9/4/2022 7:26:00 AM","91"
"9/4/2022 7:27:00 AM","105"
"9/4/2022 7:28:00 AM","121"
"9/4/2022 7:29:00 AM","108"
"9/4/2022 7:30:00 AM","111"
"9/4/2022 7:31:00 AM","104"
"9/4/2022 7:32:00 AM","115"
"9/4/2022 7:33:00 AM","113"
"9/4/2022 7:34:00 AM","108"
"9/4/2022 7:35:00 AM","74"
"9/4/2022 7:36:00 AM","130"
"9/4/2022 7:37:00 AM","97"
"9/4/2022 7:38:00 AM","96"
"9/4/2022 7:39:00 AM","112"
"9/4/2022 7:40:00 AM","106"
"9/4/2022 7:41:00 AM","160"
"9/4/2022 7:42:00 AM","78"
"9/4/2022 7:43:00 AM","124"
"9/4/2022 7:44:00 AM","147"
"9/4/2022 7:45:00 AM","119"
"9/4/2022 7:46:00 AM","96"
"9/4/2022 7:47:00 AM","78"
"9/4/2022 7:48:00 AM","169"
"9/4/2022 7:49:00 AM","132"
"9/4/2022 7:50:00 AM","123"
"9/4/2022 7:51:00 AM","92"
"9/4/2022 7:52:00 AM","115"
"9/4/2022 7:53:00 AM","76"
"9/4/2022 7:54:00 AM","138"
"9/4/2022 7:55:00 AM","98"
"9/4/2022 7:56:00 AM","106"
"9/4/2022 7:57:00 AM","94"
"9/4/2022 7:58:00 AM","100"
"9/4/2022 7:59:00 AM","142"
"9/4/2022 8:00:00 AM","120"
"9/4/2022 8:01:00 AM","97"
"9/4/2022 8:02:00 AM","157"
"9/4/2022 8:03:00 AM","117"
"9/4/2022 8:04:00 AM","92"
"9/4/2022 8:05:00 AM","126"
"9/4/2022 8:06:00 AM","100"
"9/4/2022 8:07:00 AM","128"
"9/4/2022 8:08:00 AM","127"
"9/4/2022 8:09:00 AM","102"
"9/4/2022 8:10:00 AM","169"
"9/4/2022 8:11:00 AM","103"
"9/4/2022 8:12:00 AM","90"
"9/4/2022 8:13:00 AM","126"
"9/4/2022 8:14:00 AM","136"
"9/4/2022 8:15:00 AM","178"
"9/4/2022 8:16:00 AM","172"
"9/4/2022 8:17:00 AM","115"
"9/4/2022 8:18:00 AM","111"
"9/4/2022 8:19:00 AM","96"
"9/4/2022 8:20:00 AM","467"
"9/4/2022 8:21:00 AM","111"
"9/4/2022 8:22:00 AM","88"
"9/4/2022 8:23:00 AM","71"
"9/4/2022 8:24:00 AM","113"
"9/4/2022 8:26:00 AM","108"
"9/4/2022 8:27:00 AM","155"
"9/4/2022 8:28:00 AM","157"
"9/4/2022 8:29:00 AM","150"
"9/4/2022 8:30:00 AM","103"
"9/4/2022 8:31:00 AM","160"
"9/4/2022 8:32:00 AM","123"
"9/4/2022 8:33:00 AM","114"
"9/4/2022 8:34:00 AM","106"
"9/4/2022 8:35:00 AM","148"
"9/4/2022 8:36:00 AM","132"
"9/4/2022 8:37:00 AM","154"
"9/4/2022 8:38:00 AM","227"
"9/4/2022 8:39:00 AM","108"
"9/4/2022 8:40:00 AM","89"
"9/4/2022 8:41:00 AM","133"
"9/4/2022 8:42:00 AM","98"
"9/4/2022 8:43:00 AM","180"
"9/4/2022 8:44:00 AM","112"
"9/4/2022 8:45:00 AM","229"
"9/4/2022 8:46:00 AM","174"
"9/4/2022 8:47:00 AM","83"
"9/4/2022 8:48:00 AM","117"
"9/4/2022 8:49:00 AM","126"
"9/4/2022 8:50:00 AM","148"
"9/4/2022 8:51:00 AM","115"
"9/4/2022 8:52:00 AM","87"
"9/4/2022 8:53:00 AM","144"
"9/4/2022 8:54:00 AM","138"
"9/4/2022 8:55:00 AM","120"
"9/4/2022 8:56:00 AM","87"
"9/4/2022 8:57:00 AM","94"
"9/4/2022 8:58:00 AM","117"
"9/4/2022 8:59:00 AM","92"
"9/4/2022 9:00:00 AM","176"
"9/4/2022 9:01:00 AM","112"
"9/4/2022 9:02:00 AM","99"
"9/4/2022 9:03:00 AM","84"
"9/4/2022 9:04:00 AM","91"
"9/4/2022 9:05:00 AM","93"
"9/4/2022 9:06:00 AM","108"
"9/4/2022 9:07:00 AM","145"
"9/4/2022 9:08:00 AM","204"
"9/4/2022 9:09:00 AM","114"
"9/4/2022 9:10:00 AM","136"
"9/4/2022 9:11:00 AM","84"
"9/4/2022 9:12:00 AM","97"
"9/4/2022 9:13:00 AM","79"
"9/4/2022 9:14:00 AM","95"
"9/4/2022 9:15:00 AM","125"
"9/4/2022 9:16:00 AM","101"
"9/4/2022 9:17:00 AM","161"
"9/4/2022 9:18:00 AM","121"
"9/4/2022 9:19:00 AM","190"
"9/4/2022 9:20:00 AM","97"
"9/4/2022 9:21:00 AM","259"
"9/4/2022 9:22:00 AM","79"
"9/4/2022 9:23:00 AM","102"
"9/4/2022 9:24:00 AM","83"
"9/4/2022 9:25:00 AM","108"
"9/4/2022 9:26:00 AM","102"
"9/4/2022 9:27:00 AM","104"
"9/4/2022 9:28:00 AM","136"
"9/4/2022 9:29:00 AM","187"
"9/4/2022 9:30:00 AM","141"
"9/4/2022 9:31:00 AM","118"
"9/4/2022 9:32:00 AM","124"
"9/4/2022 9:33:00 AM","86"
"9/4/2022 9:34:00 AM","173"
"9/4/2022 9:35:00 AM","101"
"9/4/2022 9:36:00 AM","85"
"9/4/2022 9:37:00 AM","125"
"9/4/2022 9:38:00 AM","84"
"9/4/2022 9:39:00 AM","108"
"9/4/2022 9:40:00 AM","109"
"9/4/2022 9:41:00 AM","117"
"9/4/2022 9:42:00 AM","117"
"9/4/2022 9:43:00 AM","117"
"9/4/2022 9:44:00 AM","117"
"9/4/2022 9:45:00 AM","108"
"9/4/2022 9:46:00 AM","83"
"9/4/2022 9:47:00 AM","80"
"9/4/2022 9:48:00 AM","81"
"9/4/2022 9:49:00 AM","70"
"9/4/2022 9:50:00 AM","124"
"9/4/2022 9:51:00 AM","112"
"9/4/2022 9:52:00 AM","165"
"9/4/2022 9:53:00 AM","96"
"9/4/2022 9:54:00 AM","143"
"9/4/2022 9:55:00 AM","110"
"9/4/2022 9:56:00 AM","92"
"9/4/2022 9:57:00 AM","118"
"9/4/2022 9:58:00 AM","92"
"9/4/2022 9:59:00 AM","129"
"9/4/2022 10:00:00 AM","124"
"9/4/2022 10:01:00 AM","117"
"9/4/2022 10:02:00 AM","82"
"9/4/2022 10:03:00 AM","94"
"9/4/2022 10:04:00 AM","123"
"9/4/2022 10:05:00 AM","86"
"9/4/2022 10:07:00 AM","90"
"9/4/2022 10:08:00 AM","101"
"9/4/2022 10:09:00 AM","128"
"9/4/2022 10:10:00 AM","102"
"9/4/2022 10:11:00 AM","88"
"9/4/2022 10:12:00 AM","80"
"9/4/2022 10:13:00 AM","130"
"9/4/2022 10:14:00 AM","256"
